r,t,y,CapitalInvestment
"Region1","BIODSL_PROD_001",2018,0.0155416609267127
"Region1","BIODSL_PROD_001",2019,0.0181765777194745
"Region1","BIODSL_PROD_001",2020,0.020906692935376
"Region1","BIODSL_PROD_001",2021,0.0237365924526777
"Region1","BIODSL_PROD_001",2022,0.0266710882707005
"Region1","BIODSL_PROD_001",2023,0.0297152321062934
"Region1","BIODSL_PROD_001",2024,0.0328743230574051
"Region1","BIODSL_PROD_001",2025,0.0361539232354758
"Region1","BIODSL_PROD_001",2026,0.0395598687639324
"Region1","BIODSL_PROD_001",2027,0.043098287523462
"Region1","BIODSL_PROD_001",2028,0.0467756097238474
"Region1","BIODSL_PROD_001",2029,0.0505985848242466
"Region1","BIODSL_PROD_001",2030,0.0545742973046869
"Region1","BIODSL_PROD_001",2031,0.05743112828423
"Region1","BIODSL_PROD_001",2032,0.0604267734356231
"Region1","BIODSL_PROD_001",2033,0.0635680372639308
"Region1","BIODSL_PROD_001",2034,0.0668620660079822
"Region1","BIODSL_PROD_001",2035,0.0703797451527855
"Region1","BIOETH_PROD_001",2018,0
"Region1","BIOETH_PROD_001",2019,0.00236730237069407
"Region1","BIOETH_PROD_001",2020,0.00476465967168117
"Region1","BIOETH_PROD_001",2021,0.00719350704967597
"Region1","BIOETH_PROD_001",2022,0.00965534817761776
"Region1","BIOETH_PROD_001",2023,0.0121517585257226
"Region1","BIOETH_PROD_001",2024,0.0146843888038504
"Region1","BIOETH_PROD_001",2025,0.0172549685361236
"Region1","BIOETH_PROD_001",2026,0.018416697749745
"Region1","BIOETH_PROD_001",2027,0.019609672119882
"Region1","BIOETH_PROD_001",2028,0.0208353836277328
"Region1","BIOETH_PROD_001",2029,0.0220953954920192
"Region1","BIOETH_PROD_001",2030,0.0233913455805281
"Region1","BIOETH_PROD_001",2031,0.0247249499752675
"Region1","BIOETH_PROD_001",2032,0.0260980066664066
"Region1","BIOETH_PROD_001",2033,0.0275123995735974
"Region1","BIOETH_PROD_001",2034,0.0289701024917892
"Region1","BIOETH_PROD_001",2035,0.0304731835317932
"Region1","BS_COM_EL_001",2018,0
"Region1","BS_COM_EL_001",2019,0
"Region1","BS_COM_EL_001",2020,0
"Region1","BS_COM_EL_001",2021,0
"Region1","BS_COM_EL_001",2022,0
"Region1","BS_COM_EL_001",2023,0
"Region1","BS_COM_EL_001",2024,0
"Region1","BS_COM_EL_001",2025,0
"Region1","BS_COM_EL_001",2026,0
"Region1","BS_COM_EL_001",2027,0
"Region1","BS_COM_EL_001",2028,0
"Region1","BS_COM_EL_001",2029,0
"Region1","BS_COM_EL_001",2030,0
"Region1","BS_COM_EL_001",2031,0
"Region1","BS_COM_EL_001",2032,0
"Region1","BS_COM_EL_001",2033,0
"Region1","BS_COM_EL_001",2034,0
"Region1","BS_COM_EL_001",2035,0
"Region1","BS_COM_HEAT_001",2018,0
"Region1","BS_COM_HEAT_001",2019,0
"Region1","BS_COM_HEAT_001",2020,0
"Region1","BS_COM_HEAT_001",2021,0
"Region1","BS_COM_HEAT_001",2022,0
"Region1","BS_COM_HEAT_001",2023,0
"Region1","BS_COM_HEAT_001",2024,0
"Region1","BS_COM_HEAT_001",2025,0
"Region1","BS_COM_HEAT_001",2026,0
"Region1","BS_COM_HEAT_001",2027,0
"Region1","BS_COM_HEAT_001",2028,0
"Region1","BS_COM_HEAT_001",2029,0
"Region1","BS_COM_HEAT_001",2030,0
"Region1","BS_COM_HEAT_001",2031,0
"Region1","BS_COM_HEAT_001",2032,0
"Region1","BS_COM_HEAT_001",2033,0
"Region1","BS_COM_HEAT_001",2034,0
"Region1","BS_COM_HEAT_001",2035,0
"Region1","BS_IND_CHEM",2018,0
"Region1","BS_IND_CHEM",2019,0
"Region1","BS_IND_CHEM",2020,0
"Region1","BS_IND_CHEM",2021,0
"Region1","BS_IND_CHEM",2022,0
"Region1","BS_IND_CHEM",2023,0
"Region1","BS_IND_CHEM",2024,0
"Region1","BS_IND_CHEM",2025,0
"Region1","BS_IND_CHEM",2026,0
"Region1","BS_IND_CHEM",2027,0
"Region1","BS_IND_CHEM",2028,0
"Region1","BS_IND_CHEM",2029,0
"Region1","BS_IND_CHEM",2030,0
"Region1","BS_IND_CHEM",2031,0
"Region1","BS_IND_CHEM",2032,0
"Region1","BS_IND_CHEM",2033,0
"Region1","BS_IND_CHEM",2034,0
"Region1","BS_IND_CHEM",2035,0
"Region1","BS_IND_CMNT",2018,0
"Region1","BS_IND_CMNT",2019,0
"Region1","BS_IND_CMNT",2020,0
"Region1","BS_IND_CMNT",2021,0
"Region1","BS_IND_CMNT",2022,0
"Region1","BS_IND_CMNT",2023,0
"Region1","BS_IND_CMNT",2024,0
"Region1","BS_IND_CMNT",2025,0
"Region1","BS_IND_CMNT",2026,0
"Region1","BS_IND_CMNT",2027,0
"Region1","BS_IND_CMNT",2028,0
"Region1","BS_IND_CMNT",2029,0
"Region1","BS_IND_CMNT",2030,0
"Region1","BS_IND_CMNT",2031,0
"Region1","BS_IND_CMNT",2032,0
"Region1","BS_IND_CMNT",2033,0
"Region1","BS_IND_CMNT",2034,0
"Region1","BS_IND_CMNT",2035,0
"Region1","BS_IND_FOOD",2018,0
"Region1","BS_IND_FOOD",2019,0
"Region1","BS_IND_FOOD",2020,0
