r,t,y,CapitalInvestment
"Region1","BIO_RESPRD",2018,0.0298866133366079
"Region1","BIO_RESPRD",2019,0.0298866133366078
"Region1","BIO_RESPRD",2020,0.0298866133366078
"Region1","BIO_RESPRD",2021,0.0298866133366078
"Region1","BIO_RESPRD",2022,0.0298866133366079
"Region1","BIO_RESPRD",2023,0.0298866133366078
"Region1","BIO_RESPRD",2024,0.0298866133366079
"Region1","BIO_RESPRD",2025,0.0298866133366078
"Region1","BIO_RESPRD",2026,0.0298866133366078
"Region1","BIO_RESPRD",2027,0.0298866133366079
"Region1","BIO_RESPRD",2028,0.0298866133366079
"Region1","BIO_RESPRD",2029,0.0298866133366079
"Region1","BIO_RESPRD",2030,0.0298866133366078
"Region1","BIO_RESPRD",2031,0.0298866133366078
"Region1","BIO_RESPRD",2032,0.0298866133366079
"Region1","BIO_RESPRD",2033,0.0298866133366078
"Region1","BIO_RESPRD",2034,0.0298866133366079
"Region1","BIO_RESPRD",2035,0.0298866133366079
"Region1","BIO_RESPRD2",2018,0
"Region1","BIO_RESPRD2",2019,0
"Region1","BIO_RESPRD2",2020,0
"Region1","BIO_RESPRD2",2021,0
"Region1","BIO_RESPRD2",2022,0
"Region1","BIO_RESPRD2",2023,0
"Region1","BIO_RESPRD2",2024,0
"Region1","BIO_RESPRD2",2025,0
"Region1","BIO_RESPRD2",2026,0
"Region1","BIO_RESPRD2",2027,0
"Region1","BIO_RESPRD2",2028,0
"Region1","BIO_RESPRD2",2029,0
"Region1","BIO_RESPRD2",2030,0
"Region1","BIO_RESPRD2",2031,0
"Region1","BIO_RESPRD2",2032,0
"Region1","BIO_RESPRD2",2033,0
"Region1","BIO_RESPRD2",2034,0
"Region1","BIO_RESPRD2",2035,0
"Region1","BIODSL_PROD_001",2018,3885.41515036504
"Region1","BIODSL_PROD_001",2019,0
"Region1","BIODSL_PROD_001",2020,0
"Region1","BIODSL_PROD_001",2021,0
"Region1","BIODSL_PROD_001",2022,0
"Region1","BIODSL_PROD_001",2023,0
"Region1","BIODSL_PROD_001",2024,0
"Region1","BIODSL_PROD_001",2025,0
"Region1","BIODSL_PROD_001",2026,0
"Region1","BIODSL_PROD_001",2027,0
"Region1","BIODSL_PROD_001",2028,0
"Region1","BIODSL_PROD_001",2029,0
"Region1","BIODSL_PROD_001",2030,0
"Region1","BIODSL_PROD_001",2031,0
"Region1","BIODSL_PROD_001",2032,0
"Region1","BIODSL_PROD_001",2033,0
"Region1","BIODSL_PROD_001",2034,0
"Region1","BIODSL_PROD_001",2035,0
"Region1","BIOETH_PROD_001",2018,0
"Region1","BIOETH_PROD_001",2019,0
"Region1","BIOETH_PROD_001",2020,0
"Region1","BIOETH_PROD_001",2021,0
"Region1","BIOETH_PROD_001",2022,0
